time,page 
0,35.83111111111112 
10,57.10417894736839 
20,83.5247175572519 
30,133.93515348837192 
40,262.40775261324035 
50,409.1877949526813 
60,1112.4901601123609 
70,2020.7736140350887 
80,3358.6969770114974 
90,2944.20815308151 
100,1403.9523932806317 
110,1338.5903653295104 
120,1074.0322407142862 
130,1252.0873290322609 
140,1141.8002524822707 
150,1281.677810600155 
160,1318.108738869865 
170,1506.4502497712733 
180,1470.4468854271374 
190,1897.5763197802169 
200,1925.2387382271468 
210,1918.3867754442635 
220,491.0695050335568 
230,106.91746721311482 
240,36.531874999999985 
246,26.87027272727273 
