time,page 
0,51.005517014108804 
10,78.06195889028811 
20,90.93003831075313 
30,171.01404453169357 
40,260.70307658086773 
50,326.8719264095927 
60,666.7156145550277 
70,762.4747420680158 
80,1034.0183147450284 
90,1847.391663072952 
100,2067.129960332964 
110,2584.2629582908958 
120,1978.1951260924748 
130,1681.2087881060397 
140,1401.2814746643394 
150,1448.9181134196108 
160,1432.7691597352568 
170,1450.0719660303614 
180,1312.223694085421 
190,1274.9059961013481 
200,689.4519638930774 
210,773.4591815726124 
220,404.27670750162844 
230,144.167777138941 
240,44.73989335645398 
246,38.87733928440462 
